0,-0.065682,-0.50484,-0.088105
0.005,-0.10902,-0.95831,-0.19531
0.01,-0.13736,-1.3623,-0.31389
0.015,-0.15341,-1.7591,-0.43468
0.02,-0.15398,-2.1683,-0.53293
0.025,-0.15429,-2.5891,-0.62554
0.03,-0.16571,-3.013,-0.72802
0.035,-0.19411,-3.4409,-0.84448
0.04,-0.30813,-3.7242,-0.94934
0.045,-0.4148,-4.0186,-1.0241
0.05,-0.51228,-4.316,-1.0794
0.055,-0.6071,-4.6113,-1.1004
0.06,-0.70293,-4.9203,-1.0972
0.065,-0.79641,-5.2348,-1.0868
0.07,-0.88932,-5.5441,-1.0749
0.075,-0.9785,-5.8563,-1.078
0.08,-1.0136,-6.1788,-1.0887
0.085,-1.0472,-6.5139,-1.0866
0.09,-1.0796,-6.8508,-1.0835
0.095,-1.1121,-7.1855,-1.0902
0.1,-1.1462,-7.5194,-1.1089
0.105,-1.179,-7.8586,-1.1403
0.11,-1.2023,-8.1923,-1.1768
0.115,-1.2196,-8.5128,-1.2078
0.12,-1.214,-8.8669,-1.2493
0.125,-1.2143,-9.2089,-1.3108
0.13,-1.2243,-9.5485,-1.3824
0.135,-1.2387,-9.8921,-1.4644
0.14,-1.2567,-10.233,-1.5416
0.145,-1.276,-10.556,-1.6005
0.15,-1.2977,-10.848,-1.6419
0.155,-1.3263,-11.134,-1.6563
0.16,-1.3741,-11.268,-1.701
0.165,-1.4204,-11.388,-1.7442
0.17,-1.4678,-11.503,-1.7834
0.175,-1.5095,-11.605,-1.8214
0.18,-1.5504,-11.687,-1.8564
0.185,-1.5898,-11.759,-1.8865
0.19,-1.6217,-11.813,-1.9221
0.195,-1.6515,-11.852,-1.9563
0.2,-1.6707,-11.784,-1.9674
0.205,-1.6906,-11.719,-1.9651
0.21,-1.713,-11.657,-1.955
0.215,-1.732,-11.584,-1.9331
0.22,-1.7506,-11.499,-1.8891
0.225,-1.7666,-11.415,-1.8349
0.23,-1.7823,-11.34,-1.7663
0.235,-1.7996,-11.27,-1.6896
0.24,-1.8368,-11.232,-1.6439
0.245,-1.8739,-11.192,-1.6007
0.25,-1.9142,-11.146,-1.5608
0.255,-1.9552,-11.094,-1.5238
0.26,-1.9966,-11.039,-1.4887
0.265,-2.0379,-10.982,-1.4486
0.27,-2.0761,-10.925,-1.4026
0.275,-2.1112,-10.867,-1.356
0.28,-2.1388,-10.818,-1.2826
0.285,-2.1656,-10.764,-1.2114
0.29,-2.1901,-10.706,-1.1402
0.295,-2.2148,-10.649,-1.0648
0.3,-2.2408,-10.594,-0.99262
0.305,-2.2676,-10.541,-0.91828
0.31,-2.2952,-10.489,-0.84245
0.315,-2.3215,-10.434,-0.7632
0.32,-2.3418,-10.355,-0.69727
0.325,-2.3625,-10.27,-0.63836
0.33,-2.3834,-10.178,-0.58618
0.335,-2.4054,-10.086,-0.53573
0.34,-2.4158,-9.9894,-0.49226
0.345,-2.436,-9.8888,-0.45321
0.35,-2.4539,-9.7875,-0.41692
0.355,-2.4671,-9.6877,-0.37825
0.36,-2.4659,-9.5036,-0.29287
0.365,-2.4619,-9.3093,-0.20958
0.37,-2.4562,-9.1112,-0.12854
0.375,-2.449,-8.907,-0.049014
0.38,-2.4435,-8.7056,0.033795
0.385,-2.4379,-8.4934,0.11773
0.39,-2.4337,-8.281,0.20144
0.395,-2.428,-8.0598,0.28793
0.4,-2.4414,-7.7904,0.43394
0.405,-2.4532,-7.5057,0.57805
0.41,-2.4649,-7.2035,0.7263
0.415,-2.4716,-6.8845,0.87139
0.42,-2.4765,-6.5596,1.0199
0.425,-2.4741,-6.2306,1.165
0.43,-2.4697,-5.8849,1.298
0.435,-2.4637,-5.5363,1.42
0.44,-2.4506,-5.0683,1.438
0.445,-2.4348,-4.5891,1.4593
0.45,-2.41,-4.1052,1.4877
0.455,-2.3793,-3.6099,1.5331
0.46,-2.3401,-3.1041,1.5907
0.465,-2.2984,-2.5949,1.6586
0.47,-2.2523,-2.0859,1.7335
0.475,-2.1921,-1.5706,1.8234
0.48,-2.1351,-1.0361,1.8938
0.485,-2.0818,-0.49948,1.9637
0.49,-2.0259,0.040085,2.0344
0.495,-1.9771,0.58937,2.1034
0.5,-1.9368,1.1366,2.1654
0.505,-1.9253,1.6628,2.2315
0.51,-1.9263,2.1339,2.3094
0.515,-1.9442,2.6274,2.3647
0.52,-1.9543,3.1304,2.5607
0.525,-1.9623,3.6368,2.7553
0.53,-1.9645,4.144,2.9506
0.535,-1.962,4.6554,3.1473
0.54,-1.9542,5.1759,3.3431
0.545,-1.9431,5.7066,3.5326
0.55,-1.9277,6.2484,3.7024
0.555,-1.9096,6.7971,3.8466
0.56,-1.9342,7.3475,3.8901
0.565,-1.9593,7.8994,3.9356
0.57,-1.9855,8.4385,3.9886
0.575,-2.0108,8.9718,4.057
0.58,-2.0327,9.5002,4.1396
0.585,-2.0438,10.048,4.233
0.59,-2.0435,10.606,4.3359
0.595,-2.0274,11.17,4.4514
0.6,-1.8647,11.777,4.6762
0.605,-1.6997,12.388,4.8948
0.61,-1.5354,12.998,5.1079
0.615,-1.3761,13.605,5.3093
0.62,-1.2252,14.205,5.4904
0.625,-1.0921,14.798,5.6326
0.63,-0.98398,15.379,5.7385
0.635,-0.89809,15.945,5.8179
0.64,-0.85435,16.459,5.968
0.645,-0.79497,16.969,6.1502
0.65,-0.71728,17.478,6.3612
0.655,-0.6166,17.994,6.5929
0.66,-0.49496,18.513,6.8444
0.665,-0.35541,19.041,7.1051
0.67,-0.20269,19.577,7.3705
0.675,-0.035817,20.113,7.6239
0.68,0.094579,20.648,7.8179
0.685,0.20155,21.182,7.9979
0.69,0.2906,21.717,8.1552
0.695,0.37169,22.255,8.2959
0.7,0.43071,22.795,8.4088
0.705,0.46686,23.33,8.4893
0.71,0.4802,23.857,8.5384
0.715,0.47907,24.378,8.5598
0.72,0.48942,24.919,8.4578
0.725,0.50766,25.464,8.3569
0.73,0.52909,26.01,8.2541
0.735,0.55326,26.556,8.1486
0.74,0.581,27.097,8.0438
0.745,0.60761,27.638,7.9442
0.75,0.63652,28.178,7.8536
0.755,0.65952,28.711,7.7659
0.76,0.68919,29.173,7.6572
0.765,0.7215,29.621,7.5421
0.77,0.75983,30.053,7.4231
0.775,0.80547,30.466,7.3098
0.78,0.86089,30.86,7.2024
0.785,0.92855,31.241,7.1059
0.79,1.0107,31.617,7.0218
0.795,1.1027,31.993,6.9442
0.8,1.1634,32.29,6.8982
0.805,1.2062,32.567,6.8437
0.81,1.2344,32.824,6.7815
0.815,1.2543,33.063,6.7298
0.82,1.2662,33.29,6.7018
0.825,1.2705,33.502,6.6928
0.83,1.2683,33.705,6.6915
0.835,1.2608,33.896,6.7013
0.84,1.2435,33.971,6.7695
0.845,1.2268,34.034,6.8249
0.85,1.2141,34.089,6.8731
0.855,1.2059,34.136,6.9104
0.86,1.2011,34.171,6.9329
0.865,1.2001,34.193,6.9396
0.87,1.2008,34.204,6.9313
0.875,1.2023,34.202,6.9123
0.88,1.1972,34.195,6.9215
0.885,1.1922,34.19,6.933
0.89,1.1832,34.19,6.9424
0.895,1.1708,34.193,6.9542
0.9,1.1542,34.2,6.9714
0.905,1.1311,34.207,6.9936
0.91,1.1086,34.213,7.0184
0.915,1.0819,34.219,7.0442
0.92,1.0508,34.217,7.0363
0.925,1.0189,34.213,7.0153
0.93,0.98768,34.209,6.9794
0.935,0.95698,34.205,6.9276
0.94,0.9305,34.211,6.8703
0.945,0.90642,34.208,6.8055
0.95,0.88649,34.207,6.7447
0.955,0.87067,34.211,6.6931
0.96,0.86871,34.252,6.7043
0.965,0.86785,34.288,6.7092
0.97,0.86518,34.319,6.7078
0.975,0.8615,34.342,6.7024
0.98,0.8568,34.361,6.6942
0.985,0.85002,34.373,6.6869
0.99,0.84262,34.382,6.6813
0.995,0.83308,34.393,6.6766
1,0.82218,34.415,6.6841
1.005,0.8103,34.433,6.6846
1.01,0.79625,34.448,6.6761
1.015,0.77954,34.462,6.6618
1.02,0.76562,34.476,6.6468
1.025,0.75194,34.49,6.6353
1.03,0.74157,34.504,6.6285
1.035,0.73042,34.518,6.6281
1.04,0.70381,34.501,6.5848
1.045,0.67681,34.482,6.5341
1.05,0.65085,34.458,6.4858
1.055,0.62846,34.428,6.4435
1.06,0.60289,34.389,6.4003
1.065,0.57485,34.341,6.3471
1.07,0.54665,34.282,6.2919
1.075,0.51292,34.212,6.2324
1.08,0.46382,34.068,6.2194
1.085,0.42435,33.917,6.2159
1.09,0.38796,33.76,6.2156
1.095,0.3528,33.595,6.2155
1.1,0.31777,33.413,6.214
1.105,0.28627,33.237,6.2163
1.11,0.26058,33.052,6.2258
1.115,0.23829,32.861,6.2362
1.12,0.24395,32.573,6.2083
1.125,0.24102,32.274,6.1752
1.13,0.23298,31.971,6.14
1.135,0.2175,31.658,6.1038
1.14,0.19243,31.335,6.0646
1.145,0.16071,31.009,6.0267
1.15,0.1269,30.678,5.9944
1.155,0.087097,30.34,5.9623
1.16,0.10045,29.927,5.9378
1.165,0.11887,29.504,5.9143
1.17,0.15323,29.074,5.8988
1.175,0.18517,28.64,5.8781
1.18,0.2259,28.198,5.8645
1.185,0.27394,27.752,5.8608
1.19,0.32573,27.303,5.8644
1.195,0.37583,26.85,5.8782
1.2,0.39734,26.396,5.9417
1.205,0.41024,25.93,5.9886
1.21,0.42148,25.451,6.0236
1.215,0.43734,24.96,6.0513
1.22,0.45962,24.461,6.0795
1.225,0.4859,23.959,6.1017
1.23,0.50608,23.448,6.121
1.235,0.51297,22.936,6.1382
1.24,0.468,22.51,6.2153
1.245,0.4105,22.091,6.2754
1.25,0.33969,21.67,6.3116
1.255,0.25911,21.247,6.331
1.26,0.17545,20.81,6.3252
1.265,0.089144,20.36,6.3058
1.27,0.0041834,19.899,6.2896
1.275,-0.072508,19.432,6.2837
1.28,-0.056343,19.007,6.1858
1.285,-0.025536,18.571,6.0857
1.29,0.01704,18.128,5.9941
1.295,0.064526,17.68,5.9092
1.3,0.11097,17.223,5.8345
1.305,0.15176,16.761,5.7665
1.31,0.18726,16.299,5.7084
1.315,0.22407,15.844,5.6831
1.32,0.21828,15.378,5.5843
1.325,0.20011,14.919,5.4697
1.33,0.19043,14.452,5.3455
1.335,0.18323,13.988,5.2213
1.34,0.17537,13.526,5.0866
1.345,0.17258,13.07,4.9617
1.35,0.17264,12.599,4.8469
1.355,0.17897,12.104,4.7571
1.36,0.19628,11.597,4.6974
1.365,0.21519,11.103,4.6133
1.37,0.23435,10.615,4.5248
1.375,0.25205,10.135,4.4334
1.38,0.27052,9.6914,4.3556
1.385,0.28617,9.2667,4.2881
1.39,0.29513,8.8625,4.2274
1.395,0.29979,8.4596,4.1717
1.4,0.31039,8.2077,4.036
1.405,0.33249,7.9632,3.8852
1.41,0.36505,7.7238,3.7296
1.415,0.40282,7.4892,3.5653
1.42,0.44698,7.2618,3.4008
1.425,0.49874,7.0365,3.2508
1.43,0.55672,6.8106,3.1212
1.435,0.61813,6.5859,3.0172
1.44,0.64866,6.4488,2.9096
1.445,0.67152,6.324,2.8071
1.45,0.69308,6.2184,2.7258
1.455,0.70717,6.1267,2.6561
1.46,0.72228,6.0519,2.6077
1.465,0.72819,5.9873,2.5699
1.47,0.72273,5.9361,2.5405
1.475,0.71179,5.9173,2.5202
1.48,0.68228,5.9523,2.5135
1.485,0.65343,5.9811,2.5077
1.49,0.62436,6.0086,2.5084
1.495,0.59666,6.0288,2.5146
1.5,0.56687,6.0423,2.5203
1.505,0.53914,6.0604,2.5349
1.51,0.50923,6.0723,2.5573
1.515,0.47796,6.0853,2.5875
1.52,0.45909,6.1024,2.6851
1.525,0.43847,6.121,2.7824
1.53,0.41648,6.1456,2.8797
1.535,0.39305,6.169,2.9764
1.54,0.36563,6.1996,3.0738
1.545,0.33736,6.2295,3.175
1.55,0.3106,6.2661,3.2796
1.555,0.2853,6.3134,3.3844
1.56,0.23946,6.4068,3.4247
1.565,0.19779,6.4884,3.4716
1.57,0.159,6.5636,3.5241
1.575,0.12509,6.6438,3.5836
1.58,0.0929,6.7145,3.6457
1.585,0.061043,6.7884,3.7087
1.59,0.026451,6.8411,3.7691
1.595,-0.012942,6.896,3.8266
1.6,-0.041934,6.9475,3.8792
1.605,-0.067574,7.0025,3.9327
1.61,-0.088479,7.0574,3.9847
1.615,-0.12207,7.1086,4.0327
1.62,-0.14442,7.1472,4.08
1.625,-0.16831,7.1785,4.1223
1.63,-0.19313,7.2225,4.1592
1.635,-0.21263,7.2665,4.1897
1.64,-0.21881,7.2934,4.2412
1.645,-0.23274,7.33,4.2942
1.65,-0.25878,7.3444,4.3477
1.655,-0.28968,7.3755,4.3991
1.66,-0.32224,7.4181,4.4528
1.665,-0.36774,7.4718,4.5019
1.67,-0.42216,7.5197,4.5531
1.675,-0.46931,7.5605,4.6107
1.68,-0.50005,7.6052,4.6351
1.685,-0.53467,7.6182,4.6584
1.69,-0.57052,7.6562,4.6768
1.695,-0.59897,7.6777,4.7005
1.7,-0.62529,7.6953,4.7315
1.705,-0.64828,7.7204,4.7625
1.71,-0.6702,7.7697,4.7982
1.715,-0.68645,7.826,4.8382
1.72,-0.71591,7.8925,4.8705
1.725,-0.74907,7.9623,4.8956
1.73,-0.78864,8.0279,4.9125
1.735,-0.82011,8.0796,4.9392
1.74,-0.85079,8.0973,4.9711
1.745,-0.88734,8.1194,4.9984
1.75,-0.9156,8.1427,5.0262
1.755,-0.93724,8.1617,5.0646
1.76,-0.9856,8.2038,5.0799
1.765,-1.0298,8.2325,5.1288
1.77,-1.0775,8.2439,5.1736
1.775,-1.1114,8.2456,5.2204
1.78,-1.1477,8.2393,5.2592
1.785,-1.1795,8.2523,5.2974
1.79,-1.2105,8.2714,5.3418
1.795,-1.2345,8.2515,5.3899
1.8,-1.2572,8.2179,5.4037
1.805,-1.2747,8.2,5.4295
1.81,-1.3005,8.1837,5.4499
1.815,-1.3295,8.1762,5.4737
1.82,-1.3668,8.1486,5.4618
1.825,-1.4041,8.1243,5.4511
1.83,-1.4376,8.0924,5.4472
1.835,-1.4846,8.0843,5.432
1.84,-1.5425,8.1092,5.4883
1.845,-1.6145,8.1113,5.5206
1.85,-1.6849,8.1199,5.5586
1.855,-1.7482,8.1381,5.6058
1.86,-1.8153,8.1289,5.6156
1.865,-1.8738,8.1456,5.6089
1.87,-1.9327,8.1758,5.6073
1.875,-1.9925,8.2132,5.6105
1.88,-2.0652,8.2831,5.611
1.885,-2.1448,8.3132,5.5873
1.89,-2.2192,8.3523,5.557
1.895,-2.2849,8.3781,5.5279
1.9,-2.3558,8.4373,5.5026
1.905,-2.4446,8.4907,5.4811
1.91,-2.5294,8.5631,5.45
1.915,-2.617,8.5984,5.4519
1.92,-2.7247,8.6624,5.4568
1.925,-2.8389,8.7301,5.4805
1.93,-2.9692,8.7829,5.4921
1.935,-3.0831,8.8501,5.5077
1.94,-3.2175,8.8991,5.5299
1.945,-3.3357,8.9732,5.56
1.95,-3.4644,9.0128,5.5782
1.955,-3.5869,9.0672,5.5923
1.96,-3.6926,9.1234,5.565
1.965,-3.7988,9.1839,5.5291
1.97,-3.9027,9.2475,5.4877
1.975,-4.0196,9.318,5.4563
1.98,-4.1286,9.3938,5.4204
1.985,-4.238,9.4615,5.3754
1.99,-4.3532,9.5103,5.3264
1.995,-4.4702,9.5843,5.292
2,-4.5638,9.6387,5.2394
2.005,-4.6685,9.6794,5.1996
2.01,-4.7483,9.7329,5.1795
2.015,-4.8181,9.7805,5.1662
2.02,-4.8835,9.8344,5.1423
2.025,-4.932,9.8691,5.1398
2.03,-4.9787,9.9141,5.1265
2.035,-5.0414,9.9465,5.1072
2.04,-5.0947,9.9648,5.0823
2.045,-5.159,9.9624,5.0674
2.05,-5.2161,9.9871,5.0338
2.055,-5.2863,9.9976,4.9971
2.06,-5.3519,9.9889,5.0155
2.065,-5.4268,10.023,5.0132
2.07,-5.4893,10.068,5.0155
2.075,-5.558,10.079,5.0141
2.08,-5.6372,10.112,5.0351
2.085,-5.7278,10.144,5.0587
2.09,-5.8272,10.16,5.0834
2.095,-5.9318,10.185,5.1122
2.1,-6.0462,10.215,5.1373
2.105,-6.1805,10.245,5.1493
2.11,-6.3387,10.281,5.1332
2.115,-6.5165,10.327,5.087
2.12,-6.8663,10.429,4.9298
2.125,-7.2276,10.548,4.7892
2.13,-7.5808,10.66,4.655
2.135,-7.9232,10.762,4.5264
2.14,-8.2542,10.884,4.3925
2.145,-8.5964,11.019,4.2705
2.15,-8.9348,11.165,4.1711
2.155,-9.2567,11.303,4.0732
2.16,-9.5623,11.44,4.0042
2.165,-9.871,11.573,3.9307
2.17,-10.185,11.697,3.8524
2.175,-10.504,11.818,3.762
2.18,-10.827,11.935,3.6571
2.185,-11.15,12.046,3.5381
2.19,-11.482,12.145,3.3949
2.195,-11.81,12.263,3.2431
2.2,-12.123,12.432,3.0663
2.205,-12.442,12.595,2.8734
2.21,-12.754,12.759,2.6793
2.215,-13.057,12.936,2.4963
2.22,-13.353,13.115,2.336
2.225,-13.639,13.301,2.1681
2.23,-13.924,13.479,2.0241
2.235,-14.207,13.666,1.8849
2.24,-14.505,13.806,1.8172
2.245,-14.801,13.935,1.7539
2.25,-15.083,14.05,1.6994
2.255,-15.351,14.157,1.6437
2.26,-15.608,14.262,1.5787
2.265,-15.867,14.376,1.4761
2.27,-16.111,14.484,1.3775
2.275,-16.341,14.585,1.2783
2.28,-16.579,14.717,1.0966
2.285,-16.81,14.863,0.94968
2.29,-17.048,15.013,0.81253
2.295,-17.284,15.161,0.69476
2.3,-17.516,15.299,0.61015
2.305,-17.742,15.427,0.53859
2.31,-17.965,15.557,0.47224
2.315,-18.176,15.665,0.43686
2.32,-18.367,15.728,0.37193
2.325,-18.542,15.781,0.31245
2.33,-18.71,15.831,0.2541
2.335,-18.873,15.885,0.19558
2.34,-19.025,15.946,0.137
2.345,-19.183,16.031,0.064851
2.35,-19.336,16.112,-0.0108
2.355,-19.499,16.174,-0.079626
2.36,-19.676,16.237,-0.14219
2.365,-19.853,16.292,-0.1824
2.37,-20.027,16.328,-0.19963
2.375,-20.205,16.359,-0.21246
2.38,-20.39,16.401,-0.22936
2.385,-20.572,16.43,-0.23621
2.39,-20.753,16.456,-0.23526
2.395,-20.928,16.46,-0.22411
2.4,-21.133,16.48,-0.36168
2.405,-21.332,16.49,-0.47361
2.41,-21.527,16.496,-0.57264
2.415,-21.717,16.519,-0.63641
2.42,-21.919,16.552,-0.69951
2.425,-22.113,16.603,-0.7431
2.43,-22.3,16.672,-0.77944
2.435,-22.491,16.736,-0.8096
2.44,-22.7,16.758,-0.82732
2.445,-22.902,16.788,-0.84605
2.45,-23.101,16.857,-0.88947
2.455,-23.283,16.895,-0.90946
2.46,-23.467,16.9,-0.97748
2.465,-23.644,16.991,-1.0454
2.47,-23.832,17.022,-1.1516
2.475,-24.019,17.044,-1.2465
2.48,-24.172,17.04,-1.265
2.485,-24.326,17.034,-1.2774
2.49,-24.491,17.023,-1.3049
2.495,-24.651,17.029,-1.3052
2.5,-24.811,17.046,-1.3017
2.505,-24.966,17.091,-1.2949
2.51,-25.116,17.126,-1.2836
2.515,-25.261,17.17,-1.2705
2.52,-25.346,17.19,-1.2817
2.525,-25.433,17.213,-1.298
2.53,-25.519,17.232,-1.3133
2.535,-25.596,17.239,-1.3158
2.54,-25.665,17.249,-1.3042
2.545,-25.725,17.244,-1.2799
2.55,-25.776,17.251,-1.2503
2.555,-25.819,17.254,-1.2134
2.56,-25.815,17.285,-1.183
2.565,-25.809,17.304,-1.1555
2.57,-25.801,17.336,-1.134
2.575,-25.786,17.355,-1.1103
2.58,-25.767,17.38,-1.0785
2.585,-25.74,17.403,-1.0364
2.59,-25.715,17.387,-1.0012
2.595,-25.682,17.424,-0.95741
2.6,-25.644,17.465,-0.9689
2.605,-25.591,17.479,-0.95763
2.61,-25.53,17.489,-0.94481
2.615,-25.463,17.508,-0.93755
